         Curves of the Total Solar Eclipse of 2043 April 09         
+------------------------------------------------------------------+
|                    Rising and Setting Curves                     |
+------------------------------------------------------------------+
|      Time in UT1      |      Latitude      |      Longitude      |
|      18:34:00.00      |     19°23.38'N     |     169°08.61'E     |
|      18:33:30.00      |     19°08.78'N     |     169°18.34'E     |
|      18:33:00.00      |     18°54.25'N     |     169°28.06'E     |
|      18:32:30.00      |     18°39.77'N     |     169°37.77'E     |
|      18:32:00.00      |     18°25.36'N     |     169°47.45'E     |
|      18:31:30.00      |     18°11.01'N     |     169°57.12'E     |
|      18:31:00.00      |     17°56.72'N     |     170°06.78'E     |
|      18:30:30.00      |     17°42.50'N     |     170°16.42'E     |
|      18:30:00.00      |     17°28.34'N     |     170°26.05'E     |
|      18:29:30.00      |     17°14.25'N     |     170°35.65'E     |
|      18:29:00.00      |     17°00.23'N     |     170°45.25'E     |
|      18:28:30.00      |     16°46.27'N     |     170°54.83'E     |
|      18:28:00.00      |     16°32.38'N     |     171°04.39'E     |
|      18:27:30.00      |     16°18.56'N     |     171°13.94'E     |
|      18:27:00.00      |     16°04.81'N     |     171°23.47'E     |
|      18:26:30.00      |     15°51.13'N     |     171°32.99'E     |
|      18:26:00.00      |     15°37.52'N     |     171°42.49'E     |
|      18:25:30.00      |     15°23.98'N     |     171°51.98'E     |
|      18:25:00.00      |     15°10.52'N     |     172°01.45'E     |
|      18:24:30.00      |     14°57.13'N     |     172°10.91'E     |
|      18:24:00.00      |     14°43.81'N     |     172°20.35'E     |
|      18:23:30.00      |     14°30.57'N     |     172°29.78'E     |
|      18:23:00.00      |     14°17.41'N     |     172°39.19'E     |
|      18:22:30.00      |     14°04.32'N     |     172°48.59'E     |
|      18:22:00.00      |     13°51.31'N     |     172°57.97'E     |
|      18:21:30.00      |     13°38.37'N     |     173°07.34'E     |
|      18:21:00.00      |     13°25.52'N     |     173°16.69'E     |
|      18:20:30.00      |     13°12.75'N     |     173°26.03'E     |
|      18:20:00.00      |     13°00.05'N     |     173°35.36'E     |
|      18:19:30.00      |     12°47.44'N     |     173°44.67'E     |
|      18:19:00.00      |     12°34.91'N     |     173°53.96'E     |
|      18:18:30.00      |     12°22.46'N     |     174°03.24'E     |
|      18:18:00.00      |     12°10.10'N     |     174°12.50'E     |
|      18:17:30.00      |     11°57.82'N     |     174°21.75'E     |
|      18:17:00.00      |     11°45.62'N     |     174°30.99'E     |
